title,tema,dificuldade,definicao,fisiopatologia,sinais_sintomas,diagnostico,conduta,tratamento,pegadinhas,resumo,fluxograma,algoritmo,score_clinico,sinais_gravidade,criterios_internacao,erros_comuns,dica_tep,checklist,flashcards,mini_aula,simulado
Kawasaki,Cardiologia,5,"Vasculite sistêmica da infância com risco de aneurisma coronariano.","Inflamação de vasos de médio calibre, especialmente coronárias.","Febre ≥5 dias; conjuntivite não purulenta; alterações orais; exantema; edema/descamação de extremidades; linfonodo cervical.","Diagnóstico clínico; ecocardiograma para avaliação coronariana.","Suspeitar em febre prolongada e critérios clínicos; encaminhar/internar.","Imunoglobulina venosa + AAS conforme fase e protocolo.","Kawasaki incompleto cai muito em prova.","Febre prolongada + mucocutâneo = pensar Kawasaki.","Febre ≥5d → critérios → eco → IVIG.","Febre prolongada sem foco + PCR alto → avaliar Kawasaki incompleto.","Z-score coronariano.","Choque; miocardite; aneurisma; febre persistente.","Suspeita de Kawasaki; alteração cardíaca; Kawasaki incompleto.","Esperar todos os critérios aparecerem.","TEP cobra Kawasaki incompleto e eco.","☑ Febre ≥5d ☑ Conjuntivite ☑ Boca ☑ Extremidades ☑ Exantema ☑ Eco","Tratamento principal?::IVIG | Complicação temida?::Aneurisma coronariano","Kawasaki é vasculite de prova: febre prolongada e sinais mucocutâneos. O objetivo é prevenir aneurisma coronariano.","Criança 3 anos, febre há 6 dias, conjuntivite e língua em morango. Conduta? A) Antitérmico apenas B) Investigar/tratar Kawasaki C) Alta D) Antibiótico oral simples. Resposta: B."
Febre reumática,Cardiologia,4,"Doença inflamatória pós-infecção por Streptococcus pyogenes.","Resposta autoimune pós-faringoamigdalite estreptocócica com acometimento cardíaco/articular.","Artrite migratória; cardite; coreia; nódulos; eritema marginado.","Critérios de Jones + evidência de infecção estreptocócica.","Tratar estreptococo, controlar inflamação e avaliar coração.","Penicilina benzatina; AAS/anti-inflamatório; corticoide se cardite grave; profilaxia secundária.","Cardite pode ser silenciosa.","O mais importante é prevenir recorrência com profilaxia.","Suspeita → Jones → ASLO/cultura → eco → tratar/profilaxia.","Confirmar estreptococo + critérios maiores/menores.","Critérios de Jones.","Dispneia; insuficiência cardíaca; cardite importante.","Cardite; IC; necessidade de investigação especializada.","Esquecer profilaxia secundária.","TEP cobra artrite migratória e cardite.","☑ Jones ☑ ASLO/cultura ☑ Eco ☑ Penicilina ☑ Profilaxia","Principal prevenção de recorrência?::Penicilina benzatina | Critérios diagnósticos?::Jones","Febre reumática é diagnóstico sindrômico. A prova cobra critérios de Jones e profilaxia secundária.","Escolar com artrite migratória e sopro após faringite. Hipótese? A) Febre reumática B) Dengue C) Asma D) ITU. Resposta: A."
Cardiopatia congênita cianótica,Cardiologia,5,"Cardiopatia estrutural com mistura ou redução do fluxo pulmonar, causando cianose.","Shunts direita-esquerda ou baixo fluxo pulmonar levam à hipoxemia.","Cianose; sopro; baixo ganho ponderal; crise hipercianótica; baqueteamento em crônicos.","Oximetria; ecocardiograma; avaliação cardiológica.","Estabilizar, oxigenar, investigar e encaminhar.","Prostaglandina em lesões ducto-dependentes; correção cirúrgica/intervencionista conforme lesão.","Cianose que não melhora com O2 sugere cardiopatia.","TEP cobra teste do coraçãozinho.","RN cianótico → Sat pré/pós-ductal → O2 → eco → prostaglandina se ducto-dependente.","Diferenciar causa pulmonar x cardíaca.","Teste do coraçãozinho.","Sat persistente baixa; choque; acidose; crise hipercianótica.","RN cianótico; falha no teste; sinais de choque.","Achar que toda cianose é pulmonar.","Cianose refratária a O2 = alerta cardíaco.","☑ Sat pré/pós ☑ Sopro ☑ Eco ☑ Prostaglandina se indicado","Teste de triagem?::Teste do coraçãozinho | Cianose refratária sugere?::Cardiopatia","Cardiopatias cianóticas exigem reconhecimento precoce. No RN, falha no teste do coraçãozinho deve acelerar investigação.","RN com Sat 86% persistente e pouco melhora com O2. Conduta? A) Alta B) Eco/avaliar cardiopatia C) Antitérmico D) Observar 1 mês. Resposta: B."
Insuficiência cardíaca pediátrica,Cardiologia,4,"Incapacidade do coração de manter débito adequado às demandas metabólicas.","Pode decorrer de cardiopatias congênitas, miocardite, arritmias ou sobrecarga de volume/pressão.","Taquipneia; sudorese às mamadas; hepatomegalia; baixo ganho ponderal; taquicardia.","Clínico + RX/ECG/eco conforme suspeita.","Estabilizar, tratar causa e reduzir congestão.","Diurético; suporte; tratar cardiopatia/miocardite/arrítmia.","Em lactentes, IC parece dificuldade alimentar e sudorese.","Hepatomegalia é pista importante.","Suspeita IC → avaliar perfusão/congestão → eco → tratar causa.","Congestão → diurético; baixo débito → suporte intensivo.","—","Choque; hipoxemia; hepatomegalia importante; má perfusão.","Descompensação; dificuldade alimentar grave; baixo ganho ponderal.","Confundir com bronquiolite recorrente.","TEP cobra sudorese às mamadas.","☑ Taquipneia ☑ Sudorese mamadas ☑ Hepatomegalia ☑ Eco","Pista em lactente?::Sudorese às mamadas | Exame-chave?::Ecocardiograma","IC pediátrica pode não aparecer como dor torácica. Em lactentes, pense em dificuldade alimentar, taquipneia e hepatomegalia.","Lactente com sudorese às mamadas e hepatomegalia. Hipótese? A) IC B) Dermatite C) ITU D) Constipação. Resposta: A."
Síndrome nefrótica,Nefrologia,4,"Síndrome caracterizada por proteinúria maciça, hipoalbuminemia, edema e hiperlipidemia.","Perda glomerular de proteínas reduz pressão oncótica e causa edema.","Edema periorbitário; edema de membros; ascite; urina espumosa.","EAS/proteinúria; albumina; colesterol; função renal.","Avaliar gravidade, infecção, pressão e função renal.","Corticoide na forma idiopática; restrição de sal; diurético se necessário; tratar complicações.","Edema periorbitário pode ser confundido com alergia.","Maioria em criança é lesão mínima e responde a corticoide.","Edema → urina → proteinúria → albumina baixa → tratar.","Confirmar síndrome → avaliar complicações → corticoide.","—","Anasarca; infecção; trombose; hipertensão; IRA.","Edema grave; infecção; hipovolemia; complicações.","Dar diurético sem avaliar volemia.","TEP cobra edema periorbitário matinal.","☑ Edema ☑ Proteinúria ☑ Albumina baixa ☑ PA ☑ Infecção","Tríade clássica?::Proteinúria, hipoalbuminemia, edema | Causa comum?::Lesão mínima","Síndrome nefrótica é diagnóstico clínico-laboratorial. O edema periorbitário recorrente deve acender alerta para proteinúria.","Criança com edema palpebral e proteinúria 4+. Diagnóstico provável? A) Síndrome nefrótica B) Asma C) Dengue D) Anemia. Resposta: A."
Síndrome nefrítica,Nefrologia,4,"Síndrome glomerular com hematúria, hipertensão, edema e redução variável da função renal.","Inflamação glomerular reduz filtração e causa retenção hídrica e hematúria.","Urina cor de coca-cola; edema; hipertensão; oligúria.","EAS; função renal; complemento; ASLO se pós-estreptocócica.","Controlar PA, sal/água e monitorar função renal.","Restrição hídrica/sal; diurético; anti-hipertensivo se necessário.","Difere da nefrótica pela hematúria e hipertensão.","Pós-estreptocócica é clássica após faringite/impetigo.","Hematúria + PA alta → função renal/complemento → suporte.","Avaliar gravidade → controlar volume/PA.","—","HAS grave; encefalopatia; oligúria; IRA.","Hipertensão importante; oligúria; disfunção renal.","Confundir com ITU simples.","TEP cobra urina cor de coca-cola.","☑ Hematúria ☑ PA ☑ Edema ☑ Complemento ☑ Função renal","Sinal clássico?::Urina cor de coca-cola | Diferença da nefrótica?::Hematúria/HAS","Síndrome nefrítica é inflamatória. A pressão arterial e a função renal guiam gravidade e internação.","Escolar com edema, HAS e urina escura após impetigo. Diagnóstico? A) GNPE B) Asma C) Diabetes D) Alergia. Resposta: A."
ITU pediátrica,Nefrologia,3,"Infecção do trato urinário em criança, podendo acometer bexiga ou rim.","Ascensão bacteriana, geralmente por enterobactérias, com risco de cicatriz renal em pielonefrite.","Febre sem foco; disúria; polaciúria; dor abdominal; vômitos; irritabilidade em lactentes.","EAS sugere; urocultura confirma; coleta adequada é essencial.","Tratar conforme idade, gravidade e local da infecção; investigar recorrência.","Antibiótico adequado; hidratação; imagem em casos indicados.","Saco coletor não serve para confirmar urocultura.","Febre sem foco em lactente exige pensar em ITU.","Febre sem foco → urina tipo 1/urocultura → ATB se provável → ajustar cultura.","Coleta correta antes de antibiótico quando possível.","—","Sepse; vômitos persistentes; toxemia; lactente pequeno.","Lactente pequeno; pielonefrite; incapacidade VO; sepse.","Confirmar ITU com saco coletor.","TEP cobra método de coleta e urocultura.","☑ Febre sem foco ☑ EAS ☑ Urocultura ☑ Coleta correta ☑ ATB","Exame confirmatório?::Urocultura | Saco coletor confirma?::Não","ITU é causa comum de febre sem foco. A coleta correta evita diagnóstico falso e tratamento desnecessário.","Lactente febril sem foco. Exame importante? A) Urina/urocultura B) TC sempre C) EEG D) Endoscopia. Resposta: A."
Acidose metabólica,Nefrologia,4,"Distúrbio ácido-base com redução do bicarbonato e queda do pH.","Produção excessiva de ácido, perda de bicarbonato ou redução da excreção renal de ácidos.","Taquipneia/Kussmaul; letargia; vômitos; sinais da causa base.","Gasometria, eletrólitos, ânion gap, lactato, função renal.","Identificar gravidade e causa: choque, CAD, diarreia, insuficiência renal.","Tratar causa; hidratação; bicarbonato apenas em situações específicas.","Não tratar número isolado: trate causa.","Ânion gap ajuda a organizar raciocínio.","pH baixo → HCO3 baixo → calcular AG → buscar causa.","AG alto: lactato/CAD/renal; AG normal: diarreia/ATR.","Ânion gap.","pH muito baixo; choque; alteração mental; hipercalemia.","Instabilidade; causa grave; necessidade de monitorização.","Dar bicarbonato de rotina.","TEP cobra acidose na CAD e diarreia.","☑ Gasometria ☑ HCO3 ☑ Ânion gap ☑ Lactato ☑ Causa","Ferramenta útil?::Ânion gap | Conduta principal?::Tratar causa","Acidose metabólica é um sinal, não diagnóstico final. O raciocínio pelo ânion gap direciona as causas.","Criança com Kussmaul, glicemia alta e acidose. Causa provável? A) CAD B) Otite C) Constipação D) Alergia. Resposta: A."
Diabetes tipo 1,Endocrinologia,4,"Doença autoimune por destruição das células beta pancreáticas, levando à deficiência de insulina.","Deficiência absoluta de insulina causa hiperglicemia e risco de cetose.","Poliúria; polidipsia; perda de peso; enurese; fadiga; candidíase.","Glicemia elevada; HbA1c; cetonas se sintomas; autoanticorpos quando necessário.","Avaliar gravidade e cetose; iniciar insulinoterapia e educação.","Insulina basal-bolus; contagem de carboidratos; monitorização glicêmica.","Novo diagnóstico pode abrir como CAD.","Perda de peso + poliúria/polidipsia é tríade clássica.","Sintomas clássicos → glicemia → cetonas → tratar/encaminhar.","Sem acidose grave → iniciar insulina e educação; CAD → protocolo.","—","Vômitos; Kussmaul; alteração mental; cetose.","Suspeita CAD; desidratação; diagnóstico novo com sintomas importantes.","Tratar como virose e não medir glicemia.","TEP cobra enurese secundária como pista.","☑ Poliúria ☑ Polidipsia ☑ Peso ↓ ☑ Glicemia ☑ Cetonas","Tríade clássica?::Poliúria, polidipsia, perda de peso | Risco agudo?::CAD","DM1 deve ser lembrado em criança com sintomas osmóticos. Medir glicemia cedo evita evolução para CAD.","Criança com enurese nova, perda de peso e muita sede. Exame inicial? A) Glicemia B) RX C) EEG D) Coprocultura. Resposta: A."
Cetoacidose diabética,Endocrinologia,5,"Emergência metabólica do diabetes com hiperglicemia, cetose e acidose.","Deficiência de insulina aumenta lipólise/cetogênese e diurese osmótica.","Kussmaul; vômitos; dor abdominal; desidratação; alteração mental.","Glicemia, cetonas e gasometria; eletrólitos e monitorização neurológica.","Hidratar primeiro, corrigir potássio e iniciar insulina EV com protocolo.","Cristaloide; insulina regular EV; reposição de potássio; tratar gatilho.","Edema cerebral é complicação mais temida.","Não fazer bolus de insulina; cuidado com correção rápida.","CAD → hidratação → K → insulina EV → monitorar cérebro.","pH/HCO3 definem gravidade; monitorar Na corrigido.","Gravidade por pH/bicarbonato; Glasgow.","Cefaleia; bradicardia; sonolência; hipertensão; piora neurológica.","CAD moderada/grave; vômitos; alteração mental.","Bicarbonato de rotina; esquecer K; insulina antes de volume.","TEP cobra edema cerebral e hidratação inicial.","☑ Glicemia ☑ Cetonas ☑ Gasometria ☑ K ☑ Hidratação ☑ Insulina ☑ Neurológico","Complicação temida?::Edema cerebral | Primeira etapa?::Hidratação","CAD é protocolo e vigilância. O tratamento inadequado pode ser tão perigoso quanto a doença.","Adolescente com Kussmaul, vômitos, pH 7,1 e glicemia 500. Conduta inicial? A) Hidratação B) Bicarbonato rotina C) Alta D) Antibiótico isolado. Resposta: A."
