title,mini_aula,fontes
Sepse neonatal precoce,"O ponto central da sepse neonatal e que o RN nao faz semiologia exuberante. Instabilidade termica, recusa alimentar e apneia podem ser a sepse. Exames ajudam, mas a decisao inicial e clinica quando ha sintomas.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Programa de Reanimação Neonatal::Diretrizes e materiais do PRN-SBP para sala de parto, prematuro e cuidados pós-reanimação.::https://www.sbp.com.br/reanimacao | SBP - Diretrizes de reanimação RN ≥34 semanas 2022::Base para sequência de passos iniciais, VPP, compressões e medicações em sala de parto.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNigualMaior34semanas-MAIO2022a.pdf | SBP - Diretrizes de reanimação RN <34 semanas 2022::Base para termorregulação, CPAP/VPP, oxigênio e particularidades do prematuro.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNmenor34semanas-MAIO2022a.pdf"
Bronquiolite viral,"A bronquiolite parece uma crise de sibilancia, mas a fisiopatologia e obstrucao por edema e muco. Por isso broncodilatador e corticoide nao melhoram a maioria dos lactentes; o que muda desfecho e reconhecer gravidade e sustentar respiracao/hidratacao.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP/CPS - Bronquiolite aguda::Base para manejo predominantemente de suporte, risco e internação.::https://cps.ca/en/documents/position/bronchiolitis"
Kawasaki,"Kawasaki deve ser estudado como protocolo clínico, não apenas como conceito. O raciocínio começa pela gravidade, passa pela confirmação diagnóstica e termina na conduta com dose por peso, reavaliação e critérios de internação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Infecção do trato urinário,"A qualidade da coleta define o diagnóstico. Tratar contaminação como ITU gera excesso de antibiótico; perder pielonefrite em lactente gera risco sistêmico.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Dengue,"Hidratação é fundamental.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | Ministério da Saúde - Dengue: diagnóstico e manejo clínico 2024::Base para grupos A-D, sinais de alarme, hidratação e critérios de gravidade.::https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/svsa/dengue/dengue-diagnostico-e-manejo-clinico-adulto-e-crianca/view"
SRAG pediátrica,"SRAG organiza o pensamento: primeiro reconhecer que a criança esta grave, depois descobrir se e influenza, VSR, pneumonia, COVID ou outra causa.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Anemia ferropriva,"O tratamento falha mais por dose errada, adesão ruim ou leite em excesso do que por doença rara. Mas falha verdadeira precisa investigação.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Hipoglicemia neonatal,"A hipoglicemia neonatal tem dois perigos: tratar demais transicoes normais e tratar de menos o RN sintomatico. O equilibrio vem de rastrear grupos certos e agir imediatamente quando ha sintomas ou persistencia.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - Programa de Reanimação Neonatal::Diretrizes e materiais do PRN-SBP para sala de parto, prematuro e cuidados pós-reanimação.::https://www.sbp.com.br/reanimacao | SBP - Diretrizes de reanimação RN ≥34 semanas 2022::Base para sequência de passos iniciais, VPP, compressões e medicações em sala de parto.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNigualMaior34semanas-MAIO2022a.pdf | SBP - Diretrizes de reanimação RN <34 semanas 2022::Base para termorregulação, CPAP/VPP, oxigênio e particularidades do prematuro.::https://www.sbp.com.br/fileadmin/user_upload/sbp/2022/junho/06/DiretrizesSBP-Reanimacao-RNmenor34semanas-MAIO2022a.pdf"
Tuberculose pediátrica,"Em criança, baciloscopia negativa não exclui TB. A prova valoriza o raciocínio epidemiológico e o escore clínico-radiológico.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/"
Pneumonia adquirida na comunidade,"O erro comum e chamar todo RX alterado de pneumonia ou toda tosse febril de bacteriana. A decisao segura combina clinica, SatO2, idade, estado geral e evolucao.

Complemento bibliográfico: conteúdo revisado à luz do Nelson/Tratado SBP e documentos SBP/MS priorizados para TEP; manter foco em idade, gravidade, exceções, doses por peso, critérios de internação/UTI e pegadinhas de prova.","Tratado de Pediatria SBP 6ª edição.docx::Base local analisada: pediatria geral, crescimento, DNPM, imunizações, neonatologia, icterícia, suplementação, telas e temas estratégicos para TEP. | Livro Nelson.docx::Base local analisada: panorama da pediatria, desenvolvimento, comportamento, nutrição, fluidoterapia, farmacologia e segurança da prescrição pediátrica. | SBP - Questões comentadas TEP::Usado para orientar estilo de cobrança, pegadinhas e forma de raciocínio, sem reprodução literal de questões.::https://www.sbp.com.br/concursos-de-titulos/questoes-comentadas/ | SBP - PAC complicada em pediatria::Documento científico usado para complicações, gravidade e padronização de manejo da pneumonia complicada.::https://www.sbp.com.br/sbp-propoe-padronizacao-de-tratamento-de-pneumonia-adquirida-na-comunidade-complicada/"
