title,flashcards
Bronquiolite viral,"Qual o principal agente da bronquiolite viral?::Vírus sincicial respiratório (VSR).|Qual faixa etária é mais típica?::Lactentes, especialmente menores de 2 anos.|O diagnóstico de bronquiolite é principalmente?::Clínico.|Quais exames são rotina na bronquiolite leve?::Nenhum exame é rotina; avaliar clinicamente e SatO2.|Tratamento principal da bronquiolite?::Suporte: higiene nasal, hidratação e oxigênio se hipoxemia.|Broncodilatador é rotina?::Não.|Corticoide é rotina?::Não.|Antibiótico é rotina?::Não, apenas se suspeita bacteriana.|Sinais de gravidade?::Apneia, Sat baixa, tiragem intensa, cianose, recusa alimentar e exaustão.|Quando internar?::Hipoxemia, apneia, esforço importante, dificuldade alimentar, prematuridade ou cardiopatia."
Pneumonia adquirida na comunidade,"Qual sinal clínico é muito importante na pneumonia pediátrica?::Taquipneia ajustada pela idade.|RX de tórax é obrigatório em toda pneumonia?::Não; é indicado se gravidade, dúvida diagnóstica, hipoxemia, complicação ou falha terapêutica.|Tratamento ambulatorial clássico da pneumonia bacteriana?::Amoxicilina VO.|Dose comum de amoxicilina na pneumonia?::50 mg/kg/dia, podendo chegar a 80–90 mg/kg/dia conforme protocolo/resistência.|Quando internar pneumonia?::Hipoxemia, toxemia, dificuldade alimentar, desidratação, complicação ou lactente pequeno grave.|Derrame pleural sugere qual complicação?::Pneumonia complicada/parapneumônica.|Principal diferencial com sibilância?::Bronquiolite ou asma.|Qual exame ajuda na gravidade?::Oximetria de pulso.|Antibiótico sempre é necessário em pneumonia viral?::Não."
Asma infantil,"Quais sintomas sugerem asma?::Sibilância recorrente, tosse noturna, dispneia e melhora com broncodilatador.|Exame funcional útil em crianças maiores?::Espirometria com prova broncodilatadora.|Qual medicamento de resgate é clássico?::Salbutamol.|Qual tratamento controlador principal?::Corticoide inalatório.|O que revisar antes de aumentar tratamento?::Técnica inalatória, adesão e exposição a gatilhos.|Asma e rinite podem coexistir?::Sim, são frequentemente associadas.|Sinais de crise grave?::Sat baixa, fala entrecortada, tiragem intensa, exaustão e silêncio torácico.|Corticoide oral entra quando?::Crise moderada/grave ou sem resposta adequada inicial.|Espaçador é importante?::Sim, melhora deposição e uso correto do inalador."
Laringite viral,"Qual som respiratório é típico da laringite?::Estridor inspiratório.|Qual tosse é característica?::Tosse ladrante.|Tratamento de base da laringite?::Corticoide.|Quando usar adrenalina nebulizada?::Estridor em repouso, desconforto moderado/grave ou sinais de obstrução significativa.|Estridor em repouso indica o quê?::Maior gravidade.|Principal localização do edema?::Região subglótica.|Antibiótico é rotina?::Não, laringite viral é tratada com suporte e corticoide.|Após adrenalina nebulizada, o paciente deve ser observado?::Sim, pelo risco de recorrência dos sintomas.|Principal diferencial grave?::Epiglotite ou corpo estranho."
Influenza pediátrica,"Qual antiviral específico para influenza?::Oseltamivir.|Janela ideal para iniciar oseltamivir?::Até 48 horas do início dos sintomas.|Em caso grave/hospitalizado, pode usar oseltamivir após 48h?::Sim.|Quais crianças são grupo de risco?::Menores de 5 anos, especialmente menores de 2 anos, além de comorbidades.|Síndrome gripal com hipoxemia/desconforto é classificada como?::SRAG.|Dose de oseltamivir em criança >40 kg?::75 mg 12/12h por 5 dias, conforme protocolo.|Influenza pode causar complicação bacteriana?::Sim, pneumonia bacteriana secundária.|É necessário esperar PCR para tratar caso grave?::Não.|Vacinação contra influenza deve ser anual?::Sim."
SRAG pediátrica,"O que significa SRAG?::Síndrome respiratória aguda grave.|SRAG é diagnóstico etiológico?::Não, é classificação de gravidade.|Quais sinais definem gravidade respiratória?::Dispneia, tiragem, cianose, Sat baixa, gemência e piora do estado geral.|Primeira conduta na SRAG com hipoxemia?::Oxigênio e avaliação ABCDE.|Quais exames podem ser úteis?::Oximetria, RX tórax, gasometria se grave e testes virais conforme vigilância.|SRAG deve ser notificada?::Sim, conforme critérios de vigilância.|Oseltamivir deve ser considerado quando?::Suspeita de influenza, grupo de risco ou gravidade.|Antibiótico é indicado quando?::Suspeita de pneumonia bacteriana ou sepse associada.|Critério de internação?::Hipoxemia, esforço respiratório, piora clínica ou necessidade de suporte."
Meningite bacteriana,"Meningite bacteriana é uma emergência?::Sim, antibiótico não deve atrasar.|Exame confirmatório clássico?::Líquor por punção lombar, quando seguro.|Quando fazer TC antes da punção lombar?::Sinais de hipertensão intracraniana, focalidade, rebaixamento importante ou papiledema.|Antibiótico deve esperar líquor se paciente instável?::Não.|Achado cutâneo que sugere meningococcemia?::Petéquias/púrpura.|Tratamento empírico frequente em criança?::Ceftriaxona ou cefotaxima, com vancomicina em contextos selecionados.|Dose comum de ceftriaxona em meningite?::100 mg/kg/dia IV dividida 12/12h, conforme protocolo.|Quais sinais de gravidade?::Choque, rebaixamento, convulsão, petéquias, sinais de HIC.|Diferencial importante?::Encefalite, convulsão febril, sepse e abscesso."
Tuberculose pediátrica,"Qual é a pista epidemiológica mais importante na TB infantil?::Contato com adulto bacilífero.|Criança com TB costuma ser paucibacilar?::Sim.|BCG protege principalmente contra quais formas?::Meningite tuberculosa e tuberculose miliar.|BCG impede TB pulmonar?::Não.|Quais exames ajudam no diagnóstico?::História de contato, RX tórax, prova tuberculínica/IGRA e sistema de pontuação.|Dose comum de rifampicina?::15 mg/kg/dia, conforme protocolo.|Dose comum de isoniazida?::10 mg/kg/dia, conforme protocolo.|Dose comum de pirazinamida?::35 mg/kg/dia, conforme protocolo.|Contato assintomático com doença ativa excluída pode precisar de quê?::Tratamento de ILTB."
Dengue pediátrica,"Conduta central na dengue?::Hidratação adequada conforme classificação de risco.|Plaqueta baixa isolada define gravidade?::Não.|Quais são sinais de alarme?::Dor abdominal intensa, vômitos persistentes, sangramento, letargia, hepatomegalia, hipotensão, desconforto respiratório ou aumento do hematócrito.|Quais medicamentos evitar?::AAS e anti-inflamatórios não esteroidais.|Exames úteis?::Hemograma com hematócrito/plaquetas e testes conforme fase da doença.|NS1 é mais útil em qual fase?::Primeiros dias da doença.|Antitérmico possível?::Paracetamol ou dipirona, conforme protocolo local.|Quando internar?::Sinais de alarme, choque, sangramento importante, comorbidade, lactente pequeno ou má condição social.|Fase crítica costuma ocorrer quando?::Na defervescência, quando a febre começa a ceder."
HIV exposto neonatal,"Diagnóstico de HIV em menores de 18 meses é feito por sorologia isolada?::Não, deve ser por testes virológicos.|No Brasil, RN exposto ao HIV pode amamentar?::Não, a amamentação é contraindicada.|Quando iniciar profilaxia antirretroviral no RN exposto?::Preferencialmente nas primeiras horas de vida.|Alto risco pode exigir qual esquema?::AZT + 3TC + raltegravir, conforme protocolo.|Baixo risco costuma usar qual medicação?::AZT, conforme protocolo.|Profilaxia para Pneumocystis inicia quando?::A partir de 4 semanas com SMX-TMP até excluir infecção, conforme protocolo.|Qual dado materno ajuda a classificar risco?::Carga viral no final da gestação/parto e adesão à TARV.|O que nunca esquecer na alta?::Seguimento especializado e fórmula láctea quando indicado."
