title,flashcards
Bronquiolite viral,"Qual é a ideia central em Bronquiolite viral?::Bronquiolite e suporte: oxigenio se hipoxemia, higiene nasal, hidratacao e vigilancia de apneia/esforco.|Qual sinal de gravidade exige atenção?::Apneia.|Qual erro comum deve ser evitado?::Pedir RX de rotina.|Qual é a principal pegadinha TEP?::Sibilancia no primeiro episodio em lactente pequeno nao e automaticamente asma. O tratamento principal e suporte. Saturacao isolada deve ser interpretada com esforço, alimentacao e idade.|Quando internar?::Hipoxemia, apneia, desconforto moderado/grave, baixa ingesta/desidratacao, lactente pequeno de risco, comorbidade, falha de observacao ou impossibilidade de retorno seguro.|Quando considerar UTI?::Apneia recorrente, exaustao, necessidade de alto fluxo/CPAP/ventilacao, hipoxemia persistente, acidose/hipercapnia, instabilidade hemodinamica.|Qual conduta de emergência?::ABCDE, oximetria, aspirar secrecoes se obstrucao, oxigenio se SatO2 baixa persistente, avaliar hidratação/alimentacao, considerar alto fluxo/UTI se esforço grave, apneia ou falha do suporte inicial.|Qual checklist mental?::Idade | Prematuridade/comorbidade | SatO2 | Tiragem | Apneia | Alimentacao | Hidratacao | Oxigenio se indicado | Orientacao de retorno"
Pneumonia adquirida na comunidade,"Qual é a ideia central em Pneumonia adquirida na comunidade?::Pneumonia pediatrica exige SatO2, gravidade e decisao sobre antibiotico/internacao.|Qual sinal de gravidade exige atenção?::SatO2 baixa.|Qual erro comum deve ser evitado?::Tratar toda sibilancia como pneumonia.|Qual é a principal pegadinha TEP?::Dor abdominal pode ser pneumonia basal. Taquipneia e sinal sensivel. Pneumonia viral nao precisa antibiotico, mas criança toxemiada/hipoxemica deve ser manejada como grave ate prova em contrario.|Quando internar?::Hipoxemia, desconforto moderado/grave, toxemia, complicacao radiologica, falha VO, vômitos persistentes, lactente de risco, comorbidade ou falha terapeutica.|Quando considerar UTI?::Insuficiencia respiratoria, choque, necessidade de alto fluxo/VNI/VM, sepse, derrame/empiema com instabilidade, rebaixamento.|Qual conduta de emergência?::ABCDE, SatO2, oxigenio se hipoxemia, antibioticoterapia precoce se bacteriana grave/sepse, fluidos com cautela, RX se grave/complicacao, internar se esforço ou Sat baixa.|Qual checklist mental?::FR por idade | SatO2 | Esforco | Estado geral | Aceita VO | RX se indicado | ATB correto | Retorno 48-72h | Sinais alarme"
Laringite viral,"Qual é a ideia central em Laringite viral?::Laringite e clinica: tosse ladrante + estridor. Tratar com dexametasona; epinefrina se estridor em repouso.|Qual sinal de gravidade exige atenção?::Estridor em repouso.|Qual erro comum deve ser evitado?::Agitar criança grave.|Qual é a principal pegadinha TEP?::Estridor em repouso muda gravidade. Adrenalina melhora rapido, mas efeito pode cair; observar antes da alta. Tosse ladrante com salivacao/toxemia nao e crupe comum.|Quando internar?::Necessidade repetida de epinefrina, estridor persistente em repouso, hipoxemia, baixa ingesta, diagnostico alternativo, risco social.|Quando considerar UTI?::Falencia respiratoria, exaustao, hipoxemia persistente, necessidade de via aerea avançada, suspeita de traqueite bacteriana grave/epiglotite.|Qual conduta de emergência?::Se estridor em repouso ou tiragem importante: manter calmo, O2 se hipoxemia, dexametasona, epinefrina nebulizada, monitorar resposta e observar pelo risco de rebote.|Qual checklist mental?::Estridor repouso | Tiragem | SatO2 | Estado mental | Salivacao/toxemia | Dexametasona | Epinefrina se indicada | Observacao 2-4h"
Influenza pediátrica,"Qual é a ideia central em Influenza pediátrica?::Influenza pediátrica exige reconhecer risco, tratar graves com antiviral e vigiar complicações respiratórias/bacterianas.|Qual sinal de gravidade exige atenção?::Dispneia.|Qual erro comum deve ser evitado?::Aguardar exame para tratar grave.|Qual é a principal pegadinha TEP?::Antiviral pode ser indicado mesmo após 48h se grave/hospitalizado. Influenza pode parecer dengue no início por mialgia/febre; tosse e sazonalidade ajudam.|Quando internar?::Hipoxemia, SRAG, complicacao, comorbidade descompensada, baixa ingesta/desidratação, lactente pequeno grave, falha ambulatorial.|Quando considerar UTI?::Insuficiencia respiratoria, choque, encefalopatia, miocardite, necessidade de alto fluxo/VNI/VM, sepse.|Qual conduta de emergência?::Se hipoxemia, desconforto, alteração mental ou desidratação: ABCDE, oxigênio, hidratação, teste se disponível, oseltamivir precoce e avaliar pneumonia bacteriana/sepse.|Qual checklist mental?::Inicio sintomas | Risco | SatO2 | Esforco | Hidratacao | Teste se muda conduta | Oseltamivir | Complicacao bacteriana | Orientar isolamento"
SRAG pediátrica,"Qual é a ideia central em SRAG pediátrica?::SRAG pediátrica é classificação de risco: oxigenar, investigar causa, notificar e escalar suporte cedo.|Qual sinal de gravidade exige atenção?::Sat baixa.|Qual erro comum deve ser evitado?::Tratar como resfriado sem medir SatO2.|Qual é a principal pegadinha TEP?::SRAG e sindrome de gravidade, nao etiologia. O foco inicial e suporte respiratorio, depois agente causal.|Quando internar?::Hipoxemia, necessidade de O2, desconforto moderado/grave, comorbidade, baixa ingesta, lactente pequeno, suspeita de pneumonia/sepse, suporte social inadequado.|Quando considerar UTI?::Falha de O2 convencional, necessidade de alto fluxo/VNI/VM, exaustao, apneia recorrente, choque, alteração mental, acidose/hipercapnia.|Qual conduta de emergência?::ABCDE, oximetria continua, O2 imediato se hipoxemia, acesso se grave, avaliar necessidade de alto fluxo/VNI, testar/isolamento, tratar influenza/sepse/pneumonia conforme suspeita.|Qual checklist mental?::SatO2 | Esforco | Estado mental | Ingesta | O2 | Isolamento | Teste viral | RX se indicado | Antiviral/ATB | UTI se falha"
Meningite bacteriana,"Qual é a ideia central em Meningite bacteriana?::Meningite bacteriana e emergencia: reconhecer, isolar, coletar se possivel e tratar sem atraso.|Qual sinal de gravidade exige atenção?::Purpura.|Qual erro comum deve ser evitado?::Atrasar antibiotico esperando TC/PL.|Qual é a principal pegadinha TEP?::PL e importante, mas antibiotico vem primeiro se houver atraso ou instabilidade. Convulsão febril com rigidez/petéquias/rebaixamento persistente não e simples.|Quando internar?::Toda suspeita de meningite bacteriana deve internar.|Quando considerar UTI?::Choque, rebaixamento, convulsao recorrente/status, purpura fulminans, hipertensão intracraniana, necessidade ventilatoria, lactente pequeno grave.|Qual conduta de emergência?::ABCDE, isolamento, acesso, hemoculturas se não atrasar, ceftriaxona/cefotaxima imediata, tratar convulsao/choque, avaliar contraindicação de PL e acionar UTI/infectologia.|Qual checklist mental?::Febre | Rigidez/fontanela | Petéquias | Mental | Convulsao | Culturas | ATB imediato | PL segura? | Isolamento | UTI"
Dengue pediátrica,"Qual é a ideia central em Dengue pediátrica?::Dengue pediátrica é manejo de risco: classificar, hidratar, evitar AINEs e vigiar fase crítica.|Qual sinal de gravidade exige atenção?::Dor abdominal intensa.|Qual erro comum deve ser evitado?::Usar AINE/AAS.|Qual é a principal pegadinha TEP?::A piora costuma vir quando a febre baixa. Plaqueta baixa assusta, mas choque por extravasamento e hematócrito subindo são centrais.|Quando internar?::Sinais de alarme, grupo de risco sem seguimento seguro, desidratação, sangramento relevante, plaquetopenia importante com sintomas, comorbidade ou dificuldade de hidratação oral.|Quando considerar UTI?::Choque, sangramento grave, desconforto respiratório por extravasamento, disfunção orgânica, rebaixamento, necessidade de reposição volumétrica intensiva.|Qual conduta de emergência?::Se sinais de alarme ou choque: acesso EV, cristaloide conforme protocolo, hemograma/hematócrito, monitorar PA/diurese/perfusão, reavaliar após cada etapa e internar.|Qual checklist mental?::Dia de doença | Sinais alarme | PA/perfusão | Ht/plaquetas | Diurese | Hidratação | Sem AINE/AAS | Retorno na defervescência"
HIV exposto neonatal,"Qual é a ideia central em HIV exposto neonatal?::HIV exposto neonatal: profilaxia nas primeiras horas, sem amamentação, teste virológico e seguimento especializado.|Qual sinal de gravidade exige atenção?::Alto risco de transmissão por carga viral detectável/desconhecida.|Qual erro comum deve ser evitado?::Permitir amamentação.|Qual é a principal pegadinha TEP?::RN exposto pode ter sorologia positiva por anticorpo materno. Diagnóstico em menor de 18 meses é virológico.|Quando internar?::RN pode seguir fluxo neonatal habitual se clinicamente bem, mas alto risco social, prematuridade ou necessidade de investigação/assistência podem justificar internação.|Quando considerar UTI?::Indicações neonatais clínicas: prematuridade, sepse, desconforto respiratório, instabilidade; exposição ao HIV isolada não exige UTI.|Qual conduta de emergência?::Se mãe sem diagnóstico prévio ou teste positivo no parto: testar, iniciar profilaxia neonatal imediatamente conforme risco, suspender amamentação, acionar infectologia/serviço de referência.|Qual checklist mental?::Carga viral materna | TARV | Idade gestacional | Peso | ARV em horas | Sem aleitamento | Fórmula | Teste virológico | SMX-TMP | Referência"
Vacinação pediátrica,"Qual é a ideia central em Vacinação pediátrica?::Vacinação pediátrica exige caderneta em toda consulta, PNI atualizado e atenção a atrasos/contraindicações reais.|Qual sinal de gravidade exige atenção?::Anafilaxia pós-vacina.|Qual erro comum deve ser evitado?::Reiniciar esquema atrasado sem necessidade.|Qual é a principal pegadinha TEP?::Prematuro em geral vacina por idade cronológica. Resfriado leve não contraindica. Atraso vacinal não costuma reiniciar esquema; continua de onde parou.|Quando internar?::Não se aplica ao calendário em si; internar por evento adverso grave, anafilaxia ou doença prevenível grave.|Quando considerar UTI?::Anafilaxia refratária, evento neurológico grave, doença imunoprevenível com instabilidade.|Qual conduta de emergência?::Em pronto atendimento, identificar atraso relevante, orientar atualização após fase aguda se necessário e notificar evento adverso grave pós-vacinação.|Qual checklist mental?::Caderneta | Idade | Doses | Intervalos | Atrasos | Contraindicação real | CRIE | Registro | Próxima dose"
Coqueluche,"Qual é a ideia central em Coqueluche?::Coqueluche é doença de transmissão: reconhecer, isolar, macrolídeo, proteger lactentes e contatos.|Qual sinal de gravidade exige atenção?::Apneia.|Qual erro comum deve ser evitado?::Esperar guincho em lactente pequeno.|Qual é a principal pegadinha TEP?::Antibiotico reduz transmissão, mas pode não encurtar tosse se iniciado tarde. Lactente pode apresentar apneia como principal manifestação.|Quando internar?::Lactente jovem, apneia/cianose, baixa ingesta, hipóxia, pneumonia, família sem suporte, comorbidade.|Quando considerar UTI?::Apneia recorrente, necessidade de suporte ventilatório, hipoxemia, hipertensão pulmonar, choque, convulsões, leucocitose extrema grave.|Qual conduta de emergência?::Lactente com apneia/cianose/paroxismos: monitorizar, O2 se necessário, isolamento, azitromicina, avaliar internação/UTI e investigar contatos.|Qual checklist mental?::Idade | Vacinação | Contato | Paroxismos | Apneia | PCR/cultura | Isolamento | Azitromicina | Contatos | Notificação"
